"Time","conc_molH","conc_molMET","conc_molSTY","conc_molTOL","conc_molWAT","liqlevel","liqlevel_l2","Q","QCum","T","P"
"0","0.0484016","0.65897","3.05178","0.785609","2.6904","5.13052","0.739547","-1.86383","-45.6445","43.6974","2.62234"
"0.01","0.0484015","0.658997","3.05188","0.785554","2.69013","5.13051","0.739534","-1.86383","-45.6632","43.6903","2.6222"
"0.02","0.0484014","0.659023","3.05198","0.785498","2.68985","5.1305","0.73952","-1.86383","-45.6818","43.6823","2.62202"
"0.03","0.0484006","0.659049","3.05208","0.785443","2.68958","5.13048","0.73951","-1.86383","-45.7004","43.6743","2.62184"
"0.04","0.0483999","0.659075","3.05218","0.785387","2.6893","5.13047","0.7395","-1.86383","-45.7191","43.6663","2.62163"
"0.05","0.0483989","0.659102","3.05228","0.785332","2.68903","5.13046","0.739489","-1.86383","-45.7377","43.6583","2.62143"
"0.06","0.0483972","0.659128","3.05238","0.785276","2.68875","5.13045","0.739479","-1.86383","-45.7564","43.6503","2.62118"
"0.07","0.0483954","0.659154","3.05248","0.785221","2.68848","5.13043","0.739469","-1.86383","-45.775","43.6423","2.62094"
"0.08","0.0483937","0.65918","3.05258","0.785166","2.6882","5.13042","0.739459","-1.86383","-45.7936","43.6344","2.6207"
"0.09","0.0483913","0.659206","3.05268","0.78511","2.68793","5.13041","0.739448","-1.86383","-45.8123","43.6265","2.62042"
"0.1","0.0483888","0.659233","3.05278","0.785056","2.68767","5.13039","0.739438","-1.86383","-45.8309","43.6186","2.62014"
"0.11","0.0483864","0.659259","3.05288","0.785002","2.6874","5.13038","0.739428","-1.86383","-45.8495","43.6106","2.61986"
"0.12","0.0483831","0.659285","3.05298","0.784948","2.68713","5.13037","0.739418","-1.86383","-45.8682","43.6027","2.61954"
"0.13","0.0483799","0.659311","3.05308","0.784895","2.68686","5.13035","0.739407","-1.86383","-45.8868","43.5948","2.61922"
"0.14","0.0483764","0.659338","3.05318","0.784841","2.68659","5.13034","0.739397","-1.86383","-45.9055","43.5869","2.61889"
"0.15","0.0483729","0.659364","3.05328","0.784787","2.68632","5.13033","0.739387","-1.86383","-45.9241","43.5789","2.61856"
"0.16","0.0483694","0.65939","3.05338","0.784733","2.68606","5.13032","0.739377","-1.86383","-45.9427","43.571","2.61823"
"0.17","0.0483651","0.659416","3.05348","0.784679","2.68579","5.1303","0.73937","-1.86383","-45.9614","43.5626","2.61785"
"0.18","0.0483608","0.659443","3.05358","0.784625","2.68552","5.13029","0.739364","-1.86383","-45.98","43.5542","2.61747"
"0.19","0.0483563","0.659469","3.05368","0.784571","2.68526","5.13028","0.739357","-1.86383","-45.9987","43.5458","2.61708"
"0.2","0.0483517","0.659495","3.05377","0.784519","2.685","5.13026","0.739351","-1.86383","-46.0173","43.5374","2.61669"
"0.21","0.0483472","0.659521","3.05387","0.784466","2.68473","5.13025","0.739344","-1.86383","-46.0359","43.529","2.61629"
"0.22","0.0483419","0.659548","3.05396","0.784413","2.68447","5.13024","0.739338","-1.86383","-46.0546","43.5205","2.61586"
"0.23","0.0483365","0.659574","3.05406","0.784361","2.68421","5.13022","0.739333","-1.86383","-46.0732","43.5121","2.61543"
"0.24","0.048331","0.6596","3.05416","0.784308","2.68395","5.13021","0.739327","-1.86383","-46.0918","43.5037","2.61499"
"0.25","0.0483254","0.659626","3.05425","0.784256","2.68369","5.1302","0.739322","-1.86383","-46.1105","43.4952","2.61454"
"0.26","0.0483199","0.659651","3.05435","0.784203","2.68343","5.13019","0.739317","-1.86383","-46.1291","43.4868","2.6141"
"0.27","0.0483136","0.659677","3.05445","0.784151","2.68316","5.13017","0.739312","-1.86383","-46.1478","43.4784","2.61362"
"0.28","0.0483073","0.659702","3.05454","0.784098","2.68291","5.13016","0.739307","-1.86383","-46.1664","43.47","2.61314"
"0.29","0.0483008","0.659728","3.05464","0.784046","2.68265","5.13015","0.739302","-1.86383","-46.185","43.4615","2.61265"
"0.3","0.0482943","0.659753","3.05474","0.783994","2.6824","5.13014","0.739297","-1.86383","-46.2037","43.4531","2.61215"
"0.31","0.0482878","0.659779","3.05483","0.783943","2.68214","5.13013","0.739292","-1.86383","-46.2223","43.4447","2.61166"
"0.32","0.0482806","0.659804","3.05493","0.783892","2.68189","5.13012","0.739287","-1.86383","-46.2409","43.4362","2.61116"
"0.33","0.0482734","0.65983","3.05503","0.783841","2.68163","5.13011","0.739281","-1.86383","-46.2596","43.4278","2.61063"
"0.34","0.0482659","0.659855","3.05512","0.78379","2.68138","5.13011","0.739276","-1.86383","-46.2782","43.4194","2.61009"
"0.35","0.0482583","0.659881","3.05522","0.783738","2.68112","5.1301","0.739271","-1.86383","-46.2969","43.4109","2.60955"
"0.36","0.0482508","0.659906","3.05532","0.783687","2.68087","5.13009","0.739266","-1.86383","-46.3155","43.4025","2.60902"
