"Time","LiqFrac_H","LiqFrac_MET","LiqFrac_STY","LiqFrac_TOL","LiqFrac_WAT","vapFrac_H","vapFrac_MET","vapFrac_STY","vapFrac_TOL","vapFrac_WAT","P_bar","T_c","T_dec"
"0","0.000824934","0.0096628","0.330546","0.0431497","0.0351871","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6974"
"0.01","0.00082478","0.00966277","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6903"
"0.02","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6823"
"0.03","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6743"
"0.04","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6663"
"0.05","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6583"
"0.06","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6503"
"0.07","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6423"
"0.08","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6344"
"0.09","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6265"
"0.1","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6186"
"0.11","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6106"
"0.12","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.6027"
"0.13","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5948"
"0.14","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5869"
"0.15","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5789"
"0.16","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.571"
"0.17","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5626"
"0.18","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5542"
"0.19","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5458"
"0.2","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5374"
"0.21","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.529"
"0.22","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5205"
"0.23","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5121"
"0.24","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.5037"
"0.25","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.4952"
"0.26","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.4868"
"0.27","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.4784"
"0.28","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.47"
